trial,choice,travel_time,reward
50,A,21.88390008396889,-21.88390008396889
51,C,25.531302682676387,-25.531302682676387
52,A,23.251916688486713,-23.251916688486713
53,C,27.938348267723303,-27.938348267723303
54,B,24.634589586771753,-24.634589586771753
55,A,24.007932605673467,-24.007932605673467
56,B,26.6263857053963,-26.6263857053963
57,A,20.289620056251618,-20.289620056251618
58,A,24.06384394667405,-24.06384394667405
59,C,32.661006128361876,-32.661006128361876
60,B,23.521605494891627,-23.521605494891627
61,A,14.380082662697335,-14.380082662697335
62,B,26.993883688755545,-26.993883688755545
63,A,20.936934292317012,-20.936934292317012
64,A,21.968996233009367,-21.968996233009367
65,A,22.76747902426882,-22.76747902426882
66,A,17.68476294119049,-17.68476294119049
67,A,21.014835510945254,-21.014835510945254
68,A,25.18441852526146,-25.18441852526146
69,A,16.246534841904356,-16.246534841904356
70,A,13.2372171064207,-13.2372171064207
71,C,27.241542685872663,-27.241542685872663
72,A,12.854255343573822,-12.854255343573822
73,A,19.880069336065525,-19.880069336065525
74,A,14.099864732896668,-14.099864732896668
75,A,15.642102139961358,-15.642102139961358
76,A,18.901615500333758,-18.901615500333758
77,A,19.399332399324262,-19.399332399324262
78,A,18.418238780679893,-18.418238780679893
79,A,23.643368194925863,-23.643368194925863
80,A,17.210752363480186,-17.210752363480186
81,A,26.811290513030293,-26.811290513030293
82,B,21.526727036070756,-21.526727036070756
83,A,23.724226696071135,-23.724226696071135
84,A,24.09954838697394,-24.09954838697394
85,A,21.405741001917697,-21.405741001917697
86,B,21.11748159418901,-21.11748159418901
87,B,24.30691074393567,-24.30691074393567
88,A,31.21296509752306,-31.21296509752306
89,B,25.78954806524934,-25.78954806524934
90,C,26.661724627520048,-26.661724627520048
91,B,25.641882954524775,-25.641882954524775
92,B,26.062325466508813,-26.062325466508813
93,B,22.052675715049666,-22.052675715049666
94,B,26.10992563242167,-26.10992563242167
95,A,28.090652947074382,-28.090652947074382
96,B,24.16868466071995,-24.16868466071995
97,B,25.87846082771928,-25.87846082771928
98,C,26.163652801548164,-26.163652801548164
99,A,26.339685658148422,-26.339685658148422
100,B,25.067571396286127,-25.067571396286127
101,B,22.005000965773544,-22.005000965773544
102,B,22.956306437969953,-22.956306437969953
103,A,44.26747362820796,-44.26747362820796
104,B,28.273623911772685,-28.273623911772685
105,A,29.799349693187104,-29.799349693187104
106,C,24.635497422669953,-24.635497422669953
107,B,26.432674065215064,-26.432674065215064
108,B,24.138059475506015,-24.138059475506015
109,B,23.954962126785603,-23.954962126785603
110,B,23.98365677908495,-23.98365677908495
111,A,29.14190619372452,-29.14190619372452
112,B,22.525191404390416,-22.525191404390416
113,C,33.52608434473941,-33.52608434473941
114,B,23.5591859230171,-23.5591859230171
115,B,26.48418753727168,-26.48418753727168
116,B,24.73736506811781,-24.73736506811781
117,B,26.455121985350285,-26.455121985350285
118,C,28.074901449577194,-28.074901449577194
119,B,21.349587325736387,-21.349587325736387
120,B,25.53851070172483,-25.53851070172483
121,B,24.72947599126882,-24.72947599126882
122,B,26.13677126332698,-26.13677126332698
123,C,27.089752721662247,-27.089752721662247
124,A,37.828614008241836,-37.828614008241836
125,B,20.463913243684175,-20.463913243684175
126,B,22.796663774747707,-22.796663774747707
127,B,23.772100478904196,-23.772100478904196
128,B,22.446009421874958,-22.446009421874958
129,B,23.071494098504694,-23.071494098504694
130,B,22.651544928547484,-22.651544928547484
131,B,26.866553383545536,-26.866553383545536
132,C,28.268369180411106,-28.268369180411106
133,C,25.782089756971153,-25.782089756971153
134,B,25.003725246757163,-25.003725246757163
135,B,26.2216284458157,-26.2216284458157
136,A,36.74732083099962,-36.74732083099962
137,B,24.538514521877307,-24.538514521877307
138,B,25.579237301714382,-25.579237301714382
139,B,26.559827286430792,-26.559827286430792
140,B,27.846420881566488,-27.846420881566488
141,C,36.544929123916276,-36.544929123916276
142,C,32.54830167708851,-32.54830167708851
143,B,21.106045744256605,-21.106045744256605
144,B,26.02891947370025,-26.02891947370025
145,B,25.71507399294191,-25.71507399294191
146,B,24.973415277955578,-24.973415277955578
147,B,22.254267038897968,-22.254267038897968
148,B,20.359811709076908,-20.359811709076908
149,B,23.079934515763167,-23.079934515763167
150,B,22.499288642572825,-22.499288642572825
151,B,21.001531925679657,-21.001531925679657
152,B,23.426584371793748,-23.426584371793748
153,B,23.85742933514863,-23.85742933514863
154,B,23.291976922715477,-23.291976922715477
155,B,20.357894399911537,-20.357894399911537
156,B,24.742373973141156,-24.742373973141156
157,B,26.72101966385778,-26.72101966385778
158,B,22.679357399130396,-22.679357399130396
159,B,23.15477299866353,-23.15477299866353
160,B,25.38793439614604,-25.38793439614604
161,B,24.33639440862128,-24.33639440862128
162,B,24.382899026269527,-24.382899026269527
163,B,21.90235657954517,-21.90235657954517
164,B,24.27586343315101,-24.27586343315101
165,B,23.962537812701154,-23.962537812701154
166,B,23.220063891793448,-23.220063891793448
167,B,21.26938482931006,-21.26938482931006
168,B,23.624007035920226,-23.624007035920226
169,C,26.655958343197856,-26.655958343197856
170,B,18.932994493458377,-18.932994493458377
171,B,22.909980382409394,-22.909980382409394
172,B,20.221965330989377,-20.221965330989377
173,B,21.042619493751893,-21.042619493751893
174,B,26.884878469693746,-26.884878469693746
175,B,21.690175165758415,-21.690175165758415
176,B,25.81626570673201,-25.81626570673201
177,B,22.14062555678314,-22.14062555678314
178,B,26.969234228058482,-26.969234228058482
179,B,22.713207409562926,-22.713207409562926
180,B,20.993276243740887,-20.993276243740887
181,B,26.237816969214222,-26.237816969214222
182,B,24.89324443324595,-24.89324443324595
183,B,23.761421996678074,-23.761421996678074
184,B,20.8529900080145,-20.8529900080145
185,B,23.3555594508405,-23.3555594508405
186,B,26.52206656324856,-26.52206656324856
187,B,21.13889602944468,-21.13889602944468
188,B,26.623276862177285,-26.623276862177285
189,B,24.582140579343392,-24.582140579343392
190,B,23.863664761645186,-23.863664761645186
191,B,24.995062699489456,-24.995062699489456
192,B,19.58121711070777,-19.58121711070777
193,B,27.341708447400016,-27.341708447400016
194,C,24.01412285253491,-24.01412285253491
195,B,27.127317929204718,-27.127317929204718
196,B,23.145456859515676,-23.145456859515676
197,C,27.24627966131971,-27.24627966131971
198,B,25.261594637679465,-25.261594637679465
199,B,21.705388118893307,-21.705388118893307
200,B,22.97907328815519,-22.97907328815519
